UniProtKB.AC	Ensembl
Q8WWZ7	ENSG00000154265
Q8N139	ENSG00000154262
Q8IZY2	ENSG00000064687
O94911	ENSG00000141338
Q8IUA7	ENSG00000154258
Q8WWZ4	ENSG00000154263
Q4W5N1	
Q86UK0	ENSG00000144452
Q86UQ4	ENSG00000179869
Q2M3G0	ENSG00000004846
Q9NP58	ENSG00000115657
O75027	ENSG00000131269
Q9NUT2	ENSG00000197150
Q9NP78	ENSG00000150967
Q9NRK6	ENSG00000135776
O95342	ENSG00000073734
Q09428	ENSG00000006071
O60706	ENSG00000069431
Q96J66	ENSG00000121270
Q9NSE7	
P33897	ENSG00000101986
Q9UBJ2	ENSG00000173208
P28288	ENSG00000117528
O14678	ENSG00000119688
P61221	ENSG00000164163
Q8NE71	ENSG00000204574; ENSG00000206490; ENSG00000236342; ENSG00000232169; ENSG00000225989; ENSG00000231129; ENSG00000236149
Q9UG63	ENSG00000033050
Q9NUQ8	ENSG00000161204
P45844	ENSG00000160179
Q9UNQ0	ENSG00000118777
Q9H172	ENSG00000172350
Q9H222	ENSG00000138075
Q9H221	ENSG00000143921
Q8N2K0	ENSG00000100997
Q0P651	ENSG00000164074
P41238	ENSG00000111701
Q9Y235	ENSG00000124701
Q8WW27	ENSG00000173627
Q6UXT9	ENSG00000168792
Q96SE0	ENSG00000143994
P08910	ENSG00000140526
Q8WU67	ENSG00000158201
Q8TB40	ENSG00000100439
Q8WTS1	ENSG00000011198
Q9BV23	ENSG00000163686
Q96I13	ENSG00000127220
Q9NUJ1	ENSG00000144827
Q8NFV4	ENSG00000106077
Q7L211	ENSG00000139826
Q9BUJ0	ENSG00000248487
Q96IU4	ENSG00000114779
O95870	ENSG00000204427; ENSG00000206403; ENSG00000230475; ENSG00000236063; ENSG00000235676; ENSG00000231488; ENSG00000224552
Q9H3Z7	ENSG00000183260
Q8IZP0	ENSG00000136754
Q9NYB9	ENSG00000138443
Q9P2A4	ENSG00000108798
P00519	ENSG00000097007
P42684	ENSG00000143322
O14639	ENSG00000099204
Q6H8Q1	ENSG00000163995
O94929	ENSG00000173210
Q9P1F3	ENSG00000146386
Q8N0Z2	ENSG00000174429
Q6UWZ7	ENSG00000163322
Q15018	ENSG00000165660
Q12979	ENSG00000159842; ENSG00000276016; ENSG00000278741
Q9ULW3	ENSG00000146109
Q969K4	ENSG00000114626
Q8N961	ENSG00000166016
Q13085	ENSG00000275176; ENSG00000278540
O00763	ENSG00000076555
Q9UKU7	ENSG00000151498
Q9H845	ENSG00000177646
P28330	ENSG00000115361
P11310	ENSG00000117054
P16219	ENSG00000122971
P49748	ENSG00000072778
Q15027	ENSG00000072818
Q15057	ENSG00000114331
Q96P50	ENSG00000131584
O00400	ENSG00000169359
Q8NC06	ENSG00000181513
Q5T8D3	ENSG00000107897
Q9BR61	ENSG00000230124
Q8N6N7	ENSG00000176244
Q96GR2	ENSG00000103740
Q5FVE4	ENSG00000130377
P07108	ENSG00000155368
Q6JQN1	ENSG00000111271
Q709F0	ENSG00000240303
P45954	ENSG00000196177
Q96AP0	ENSG00000102977
Q9BYF1	ENSG00000130234
Q8TDN7	ENSG00000167769
Q5QJU3	ENSG00000177076
Q9NUN7	ENSG00000078124
P22303	ENSG00000087085
P12821	ENSG00000159640
Q9GZZ6	ENSG00000129749
Q15822	ENSG00000120903
P32297	ENSG00000080644
P43681	ENSG00000101204
P30532	ENSG00000169684
Q15825	ENSG00000147434
P36544	ENSG00000175344
Q9UGM1	ENSG00000174343
P02708	ENSG00000138435
P17787	ENSG00000160716
Q05901	ENSG00000147432
P30926	ENSG00000117971
P11230	ENSG00000170175; ENSG00000283946
Q07001	ENSG00000135902
Q04844	ENSG00000108556
P07510	ENSG00000196811
Q9UKV3	ENSG00000100813
Q07912	ENSG00000061938
Q16570	ENSG00000213088
O00590	ENSG00000144648
P25106	ENSG00000144476
Q9NPB9	ENSG00000129048
Q5JWF8	ENSG00000182584
O96019	ENSG00000136518
O94805	ENSG00000077080
Q9Y615	ENSG00000187003
Q9Y614	ENSG00000148156
P53396	ENSG00000131473
P11229	ENSG00000168539
P08172	ENSG00000181072
P20309	ENSG00000133019
P08173	ENSG00000180720
P08912	ENSG00000184984
Q8TDX5	ENSG00000153086
Q8WXI4	ENSG00000162390
Q8WYK0	ENSG00000172497
Q9NPJ3	ENSG00000112304
Q8N1Q8	ENSG00000196407
P21399	ENSG00000122729
O00767	ENSG00000099194
Q99798	ENSG00000100412
Q86TX2	ENSG00000184227
P49753	ENSG00000119673
Q8N9L9	ENSG00000177465
Q3I5F7	ENSG00000205669
O14734	ENSG00000101473
Q9Y305	ENSG00000123130
Q15067	ENSG00000161533
Q99424	ENSG00000168306
O15254	ENSG00000087008
Q9NUZ1	ENSG00000153093
Q6ZNF0	ENSG00000183760
P13798	ENSG00000164062
O14561	ENSG00000004779
Q8NEB7	ENSG00000111644
Q96QF7	ENSG00000147174
P10323	ENSG00000100312; ENSG00000283539
Q08AH3	ENSG00000183747
Q68CK6	ENSG00000066813
Q9NUB1	ENSG00000154930
Q9NR19	ENSG00000131069
Q96CM8	ENSG00000167107
Q4G176	ENSG00000176715
Q4L235	ENSG00000157426
P33121	ENSG00000151726
O95573	ENSG00000123983
O60488	ENSG00000068366
Q9ULC5	ENSG00000197142
Q9UKU0	ENSG00000164398
Q08AH1	ENSG00000166743
Q53FZ2	ENSG00000005187
P0C7M7	ENSG00000215009
Q6NUN0	ENSG00000183549
Q6P461	ENSG00000173124
Q9H6R3	ENSG00000111058
P62736	ENSG00000107796
Q562R1	ENSG00000169067
Q9BYX7	
P60709	ENSG00000075624
P68032	ENSG00000159251
P63261	ENSG00000184009
Q01718	ENSG00000185231
P63267	ENSG00000163017
Q9H568	ENSG00000117148
Q8TC94	ENSG00000181786
P12814	ENSG00000072110
P35609	ENSG00000077522
Q08043	ENSG00000248746
O43707	ENSG00000130402; ENSG00000282844
P68133	ENSG00000143632
Q8TDG2	ENSG00000123165
Q8TDY3	ENSG00000169717
Q9BYD9	ENSG00000184378
P42025	ENSG00000115073
P61163	ENSG00000138107
P36896	ENSG00000135503
Q8NER5	ENSG00000123612
P37023	ENSG00000139567
Q04771	ENSG00000115170
Q03154	ENSG00000243989
P45381	ENSG00000108381
Q96HD9	ENSG00000132744
P07311	ENSG00000119640
P14621	ENSG00000170634
O14672	ENSG00000137845
O75078	ENSG00000073670
O43184	ENSG00000148848
Q13444	ENSG00000143537
P78536	ENSG00000151694
Q9Y3Q7	ENSG00000168619; ENSG00000278548
Q9H013	ENSG00000135074
P35348	ENSG00000120907
P35368	ENSG00000170214
P25100	ENSG00000171873
O43506	ENSG00000134007
Q9UKJ8	ENSG00000139985
Q9P0K1	ENSG00000008277
O75077	ENSG00000114948
Q9UKQ2	ENSG00000042980
Q9UKF5	ENSG00000168594
P08913	ENSG00000150594
P18089	ENSG00000274286
P18825	ENSG00000184160
Q9NZK5	ENSG00000093072
Q9UKF2	ENSG00000134249
Q8TC27	ENSG00000197140; ENSG00000275594
Q9BZ11	ENSG00000149451
Q96M93	ENSG00000164113
Q8NCV1	ENSG00000140955
Q6DHV7	ENSG00000168803
Q99965	ENSG00000104755; ENSG00000276286
Q6NVV9	
Q9H2U9	ENSG00000069206
P78325	ENSG00000151651
Q13443	ENSG00000168615
O75689	ENSG00000105963
Q9NPF8	ENSG00000184060
A8MUL3	
O00116	ENSG00000018510
Q9BUB4	ENSG00000065457
Q7Z6V5	ENSG00000189007
Q96EY9	ENSG00000213638
P00813	ENSG00000196839
Q86TW2	ENSG00000063761
Q7Z695	ENSG00000133597
Q3MIX3	ENSG00000173137
Q6P093	ENSG00000197953; ENSG00000261846
Q5VUY0	ENSG00000188984
Q5VUY2	ENSG00000204518
Q08828	ENSG00000164742
Q08462	ENSG00000078295
O60266	ENSG00000138031
Q8NFM4	ENSG00000129467
O95622	ENSG00000173175
O43306	ENSG00000174233
P51828	ENSG00000121281
P40145	ENSG00000155897
O60503	ENSG00000162104
Q96PN6	ENSG00000143199
P35611	ENSG00000087274
P35612	ENSG00000075340
Q9UEY8	ENSG00000148700
O15204	ENSG00000134028
Q8N7X0	ENSG00000118492
P07327	ENSG00000187758
P00325	ENSG00000196616
P00326	ENSG00000248144
P08319	ENSG00000198099
P28332	ENSG00000172955
P40394	ENSG00000196344
P11766	ENSG00000197894
Q0VDE8	ENSG00000182035
Q5T7M4	ENSG00000184163
Q15848	ENSG00000181092
Q9Y2D8	ENSG00000117155
Q15847	ENSG00000148671
P55263	ENSG00000156110
Q7Z4H4	ENSG00000128165
C9JUS6	ENSG00000224420
P35318	ENSG00000148926
Q6IQ32	ENSG00000101544
Q9H2P0	ENSG00000101126
Q9BRR6	ENSG00000159322
Q9NRN7	ENSG00000149313
P54922	ENSG00000144843
Q3LIE5	ENSG00000170222
P08588	ENSG00000043591
P07550	ENSG00000169252
P13945	ENSG00000188778
Q16186	ENSG00000130706
P22570	ENSG00000161513
Q9Y6U3	ENSG00000006747
P12235	ENSG00000151729
P05141	ENSG00000005022
P12236	ENSG00000169100
Q9H0C2	ENSG00000151475
Q96IZ2	ENSG00000111863
P10109	ENSG00000137714
Q8IUX7	ENSG00000106624
Q6ZN18	ENSG00000139154
Q96SZ5	ENSG00000181915
Q6UXC1	ENSG00000177943
Q8WTP8	ENSG00000181026
Q08117	ENSG00000104964
P55197	ENSG00000078403
P55198	
Q8TED9	ENSG00000157510
Q8N4X5	ENSG00000169129
Q13015	ENSG00000213190
P42568	ENSG00000171843
P55196	ENSG00000130396
P43652	ENSG00000079557
Q8N556	ENSG00000196526
Q9Y6Z5	
P51825	ENSG00000172493
P51816	ENSG00000155966
P51826	ENSG00000144218
Q9UHB7	ENSG00000072364
Q8WV93	ENSG00000135537
Q9Y4W6	ENSG00000141385
Q6ULP2	ENSG00000119844
Q5BKT4	ENSG00000139133
Q5I7T1	ENSG00000175548
C9J202	ENSG00000251287
Q8TF27	
P06280	ENSG00000102393
Q9UPQ3	ENSG00000157985
Q99490	ENSG00000135439
Q96P47	ENSG00000133612
Q96P64	ENSG00000188234
A6NIR3	ENSG00000172650
Q5VW22	ENSG00000204149
Q5VUJ5	
Q5VTM2	ENSG00000204172
P52594	ENSG00000173744
O95081	ENSG00000106351
Q8N302	ENSG00000164252
Q9H0P7	
Q53H12	ENSG00000006530; ENSG00000262327
O95394	ENSG00000013375
Q9UL18	ENSG00000092847
Q9UKV8	ENSG00000123908
Q9H9G7	ENSG00000126070
Q9HCK5	ENSG00000134698
A8MT82	
O95994	ENSG00000106541
Q8TD06	ENSG00000173467
Q86SQ6	ENSG00000197177
Q96PE1	ENSG00000020181
Q8IWK6	ENSG00000152990
O60241	ENSG00000121753
O60242	ENSG00000135298
Q6QNK2	ENSG00000111452
Q7Z7M1	ENSG00000180264
Q14246	ENSG00000174837
Q9UHX3	ENSG00000127507
Q9BY15	ENSG00000131355
Q86SQ3	
Q5T601	ENSG00000153292
Q8IZF7	ENSG00000164393
Q8IZF5	ENSG00000173567
Q8IZF3	ENSG00000153294
Q8IZF2	ENSG00000069122
Q9Y653	ENSG00000205336
Q8IZP9	ENSG00000173698
Q86Y34	ENSG00000182885
Q8IZF6	ENSG00000156920
Q8IZF4	ENSG00000159618
Q86SQ4	ENSG00000112414
Q96K78	ENSG00000144820
O00468	ENSG00000188157
O94910	ENSG00000072071
O95490	ENSG00000117114
Q9HAR2	ENSG00000150471
Q9HBW9	ENSG00000162618
O00253	ENSG00000159723
Q9BYV1	ENSG00000113492
P30556	ENSG00000144891
P50052	ENSG00000180772
Q5TGY3	ENSG00000126705
Q8N157	ENSG00000135541
Q8IVF2	ENSG00000185567
Q09666	ENSG00000124942
A9YTQ3	ENSG00000063438
P35869	ENSG00000106546
O95433	ENSG00000100591
Q719I0	ENSG00000173209
Q9NZD4	ENSG00000169877
Q9GZX7	ENSG00000111732
Q96BJ3	ENSG00000186063
Q9BQI0	ENSG00000126878
P55008	ENSG00000204472; ENSG00000206428; ENSG00000235985; ENSG00000237727; ENSG00000234836; ENSG00000235588
O95831	ENSG00000156709
Q9BRQ8	ENSG00000042286
Q96NN9	ENSG00000183773
Q9NVV5	ENSG00000146416
O14862	ENSG00000163568
Q12904	ENSG00000164022
Q13155	ENSG00000106305
Q16352	ENSG00000148798
Q9NZN9	ENSG00000129221
O00170	ENSG00000110711
O43918	ENSG00000160224
Q9UKB5	ENSG00000196581
Q96IF1	ENSG00000129474
Q02040	ENSG00000197976
P14550	ENSG00000117448
O60218	ENSG00000198074
C9JRZ8	ENSG00000227471
Q04828	ENSG00000187134
P52895	ENSG00000151632
P42330	ENSG00000196139
P17516	ENSG00000198610
P51857	ENSG00000122787
O43572	ENSG00000108599
Q9UKA4	ENSG00000023516
Q02952	ENSG00000131016
Q86UN6	ENSG00000186471
O43687	ENSG00000118507
Q9P0M2	ENSG00000118507
P0CW23	ENSG00000231824
Q92667	ENSG00000121057
Q9Y2D5	ENSG00000241978
O75969	ENSG00000111254
Q5JQC9	ENSG00000147081
P24588	ENSG00000179841
Q13023	ENSG00000151320
O43823	ENSG00000105127
Q99996	ENSG00000127914
Q5T2L2	
Q96JD6	ENSG00000165568
Q495B1	ENSG00000166839
A6NHY2	ENSG00000189045
Q9P2G1	ENSG00000001629
Q9NQ31	ENSG00000166452
Q9NWT8	ENSG00000175756
Q9H9L7	ENSG00000174574
Q53H80	ENSG00000135334
Q7Z591	ENSG00000106948
Q5T1N1	ENSG00000162641
Q12802	ENSG00000170776
Q9ULX6	ENSG00000011243
P31749	ENSG00000142208
P31751	ENSG00000105221
Q9Y243	ENSG00000117020; ENSG00000275199
Q9H8T0	ENSG00000166971
Q96B36	ENSG00000204673
Q8N8R7	ENSG00000152219
P00352	ENSG00000165092
O94788	ENSG00000128918
P47895	ENSG00000184254
P30837	ENSG00000137124
O75891	ENSG00000144908
Q3SY69	ENSG00000136010
Q60I27	ENSG00000178038
Q96Q35	ENSG00000155749
P30838	ENSG00000108602
P51648	ENSG00000072210
P43353	ENSG00000006534
P48448	ENSG00000132746
P30038	ENSG00000159423
P20292	ENSG00000132965
P49419	ENSG00000164904
Q9H2A2	ENSG00000118514
P49189	ENSG00000143149
P24298	ENSG00000167701
Q8TD30	ENSG00000166123
P02768	ENSG00000163631
P05091	ENSG00000111275
P04075	ENSG00000149925
P05062	ENSG00000136872
P09972	ENSG00000109107
P15121	ENSG00000085662
P84996	ENSG00000087460
Q2TAA5	ENSG00000253710
Q9BV10	ENSG00000182858
Q9NP73	ENSG00000101901
Q96F25	ENSG00000172339
Q6GMV1	ENSG00000189366
Q9BT22	ENSG00000033011
Q9H553	ENSG00000119523
Q92685	ENSG00000214160
Q9Y673	ENSG00000120697
Q9Y672	ENSG00000088035
Q9BVK2	ENSG00000159063
Q9H6U8	ENSG00000086848
Q13686	ENSG00000100601
Q6NS38	ENSG00000189046
Q96Q83	ENSG00000166199
Q9NXW9	ENSG00000160993
Q6P6C2	ENSG00000091542
Q3KRA9	ENSG00000239382
Q9BT30	ENSG00000125652
Q96BT7	ENSG00000137760
Q6UXT8	ENSG00000196711
Q6UX46	ENSG00000189292
Q6ZNB7	ENSG00000187546
Q9UM73	ENSG00000171094
Q8N6M5	
Q8TCU4	ENSG00000116127
Q96QP1	ENSG00000073331
Q86TB3	ENSG00000198796
Q96L96	ENSG00000136383
P55789	ENSG00000127554
Q96Q42	ENSG00000003393
P35858	ENSG00000099769
Q15699	ENSG00000180318
O95076	ENSG00000156150
Q9H161	ENSG00000052850
Q9UHK6	ENSG00000242110
Q9NP70	ENSG00000178522
P02760	ENSG00000106927
P19021	ENSG00000145730
Q99217	ENSG00000125363
Q99218	ENSG00000099721
Q5JTC6	ENSG00000184675
Q8N7J2	ENSG00000165566
Q8N944	ENSG00000178171
Q6DCA0	ENSG00000144233
Q9UKV5	ENSG00000159461
Q86WK6	ENSG00000181754
Q86SJ2	ENSG00000139211
Q86WK7	ENSG00000176020
Q16671	ENSG00000135409
Q9Y4X0	ENSG00000101935
Q8IY45	ENSG00000151743
Q9BXJ7	ENSG00000166126
Q8IY63	ENSG00000166025
Q9Y2J4	ENSG00000114019
Q4VCS5	ENSG00000126016
Q9H4A4	ENSG00000176393
P23109	ENSG00000116748
Q01433	ENSG00000116337
Q01432	ENSG00000133805
Q07075	ENSG00000138792
P49418	ENSG00000078053
P28838	ENSG00000002549
P15144	ENSG00000166825
Q8N6M6	ENSG00000148120
Q6Q4G3	ENSG00000172901
Q9C0C7	ENSG00000110497
P30533	ENSG00000163956
Q6UX39	ENSG00000187689
P04745	ENSG00000174876; ENSG00000187733; ENSG00000237763
P19961	ENSG00000240038
P04746	ENSG00000243480
Q400G9	ENSG00000174945
Q86W34	ENSG00000196704
Q8IZ07	ENSG00000076513
Q86YJ7	ENSG00000198720
Q8N6S4	ENSG00000118454
Q6ZTN6	ENSG00000172932
Q8IVF6	ENSG00000180071
A2A2Z9	ENSG00000230453
Q5CZ79	
Q9BXX3	ENSG00000148513
Q9BXX2	ENSG00000180777
P39687	ENSG00000140350
Q92688	ENSG00000136938
O43423	
O95626	ENSG00000139223
Q9BTT0	ENSG00000143401
A6NCL7	ENSG00000164236
Q69YU3	ENSG00000272031
A5PLL1	ENSG00000189127
P0C6C1	ENSG00000235711
A6QL64	ENSG00000135976
Q8N2N9	ENSG00000196912
Q5JPF3	ENSG00000174501
P54802	ENSG00000108784
Q9UJX6	ENSG00000176248
Q96K21	ENSG00000166140
P10275	ENSG00000169083
P16860	ENSG00000120937
P23582	ENSG00000163273
Q9P2R3	ENSG00000185722
P01160	ENSG00000175206
Q9UNK9	ENSG00000013523
Q5VTE6	ENSG00000174606
P03950	ENSG00000214274
O95841	ENSG00000116194
Q9UKU9	ENSG00000136859
Q9Y5C1	ENSG00000132855
Q9BY76	ENSG00000167772
Q86XS5	ENSG00000187151
Q8NI99	ENSG00000130812
O43827	ENSG00000171819
Q6UXH0	ENSG00000130173
Q15389	ENSG00000154188
O15123	ENSG00000091879
Q9Y264	ENSG00000101280
P01019	ENSG00000135744
E9PGG2	ENSG00000227059
P16157	ENSG00000029534
Q01484	ENSG00000145362
Q12955	ENSG00000151150
Q7Z5J8	ENSG00000151687
Q9NU02	ENSG00000132623
Q8N957	ENSG00000153930
Q8IWZ3	ENSG00000131503
Q9HCJ1	ENSG00000154122
Q8NFD2	ENSG00000170209
Q8NAG6	ENSG00000160117
Q86XL3	ENSG00000176915
Q15327	ENSG00000148677
Q9GZV1	ENSG00000165887
Q9Y2G4	ENSG00000135299
Q92527	ENSG00000106013
Q96BM1	ENSG00000156381
Q6ZW76	ENSG00000168096
Q68DC2	ENSG00000165138
A6NFN9	ENSG00000206199
Q9P2S6	ENSG00000144504
Q8IV38	ENSG00000106524
Q9H8Y5	ENSG00000163516
Q9NQW6	ENSG00000011426
Q99873	ENSG00000126457
P55345	ENSG00000160310
O60678	ENSG00000185238
O14744	ENSG00000100462
Q96LA8	ENSG00000198890
Q9NVM4	ENSG00000132600
Q9NR22	ENSG00000111218
Q6P2P2	ENSG00000164169
Q9NW15	ENSG00000160746
Q5XXA6	ENSG00000131620
Q9NQ90	ENSG00000047617
Q9BYT9	ENSG00000134343
Q32M45	ENSG00000151572; ENSG00000262139
Q75V66	ENSG00000171714
Q4KMQ2	ENSG00000177119
Q6IWH7	ENSG00000146205
Q9HCE9	ENSG00000074855
A1A5B4	ENSG00000185101
P16066	ENSG00000169418
P20594	ENSG00000159899
P17342	ENSG00000113389
Q9NXR5	ENSG00000088448
Q6UB99	ENSG00000167522
Q6UB98	ENSG00000101745
Q6P6B7	ENSG00000134461
O75179	ENSG00000132466
Q9H560	
Q5VYY1	ENSG00000152766
Q86SG2	ENSG00000163126
Q8TF21	ENSG00000089847
Q9UPS8	ENSG00000107890
Q96NW4	ENSG00000105186
O15084	ENSG00000206560
Q8N6D5	ENSG00000154065
Q8N7Z5	ENSG00000145700
Q7Z3H0	ENSG00000167612
Q8N283	ENSG00000198483
Q7Z713	ENSG00000186352
Q53RE8	ENSG00000213337
Q6AI12	ENSG00000154945
Q8N9B4	ENSG00000137494
Q8N8A2	ENSG00000065413
Q5TZF3	ENSG00000183831
Q86W74	ENSG00000186106
Q8WVL7	ENSG00000168876
Q9ULJ7	ENSG00000151458
Q8NB46	ENSG00000139645
Q8N9V6	ENSG00000144031
Q6NXT1	ENSG00000100124
Q3KP44	ENSG00000164512
Q9BZ19	ENSG00000124227
A6NGH8	ENSG00000157999
A6NC57	ENSG00000181626
C9JTQ0	ENSG00000230778
E5RJM6	ENSG00000235098
B4E2M5	ENSG00000230062
Q9H9E1	ENSG00000164331
Q92625	ENSG00000064999
Q7Z6G8	ENSG00000185046
Q8N8V4	ENSG00000175311; ENSG00000284290
P01008	ENSG00000117601
Q9H6X2	ENSG00000169604
P58335	ENSG00000163297
A6NF34	ENSG00000274209
Q9UJ72	ENSG00000109511
P50995	ENSG00000122359
P27216	ENSG00000104537
P04083	ENSG00000135046
P07355	ENSG00000182718
P12429	ENSG00000138772
